"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"16:44:16.190, 31.03.2016","37,1","0,0","390.594.560","205.654.264","122.068.992","112.953.936","20.167","0","168","26"
"16:44:17.205, 31.03.2016","37,1","0,8","391.643.136","127.350.504","122.068.992","112.971.312","20.167","0","168","26"
"16:44:18.218, 31.03.2016","16,2","0,0","391.643.136","171.744.184","122.068.992","112.971.312","20.168","0","168","26"
"16:44:19.221, 31.03.2016","12,4","0,0","391.643.136","203.743.000","122.068.992","112.971.312","20.169","0","168","26"
"16:44:20.237, 31.03.2016","17,1","0,0","391.643.136","239.807.048","122.068.992","112.971.312","20.169","0","168","26"
"16:44:21.252, 31.03.2016","23,4","1,0","397.934.592","158.928.000","122.068.992","113.012.280","20.169","0","168","26"
"16:44:22.268, 31.03.2016","11,3","0,0","397.934.592","192.789.896","122.068.992","113.012.280","20.169","0","168","26"
"16:44:23.284, 31.03.2016","10,6","0,0","397.934.592","230.273.624","122.068.992","113.012.280","20.169","0","168","26"
"16:44:24.294, 31.03.2016","25,1","0,6","398.458.880","147.289.720","122.068.992","113.064.456","20.169","0","168","26"
"16:44:25.310, 31.03.2016","27,7","0,0","398.458.880","186.472.208","122.068.992","113.064.456","20.169","0","168","26"
"16:44:26.325, 31.03.2016","26,1","0,0","398.458.880","221.560.392","122.068.992","113.064.456","20.170","0","168","26"
"16:44:27.341, 31.03.2016","12,8","1,1","402.128.896","137.364.704","122.068.992","113.086.752","20.170","0","168","26"
"16:44:28.357, 31.03.2016","24,2","0,0","402.128.896","174.543.952","122.068.992","113.086.752","20.170","0","168","26"
"16:44:29.372, 31.03.2016","18,7","0,0","402.128.896","209.071.600","122.068.992","113.086.752","20.170","0","168","26"
"16:44:30.388, 31.03.2016","9,5","0,0","402.128.896","244.284.448","122.068.992","113.086.752","20.170","0","168","26"
"16:44:31.404, 31.03.2016","15,6","1,1","402.128.896","159.745.600","122.068.992","113.110.376","20.170","0","168","26"
"16:44:32.419, 31.03.2016","9,7","0,0","402.128.896","193.507.464","122.068.992","113.110.376","20.170","0","168","26"
"16:44:33.435, 31.03.2016","8,5","0,0","402.128.896","220.880.376","122.068.992","113.110.376","20.170","0","168","26"
"16:44:34.451, 31.03.2016","9,1","0,0","402.128.896","248.406.952","122.068.992","113.110.376","20.170","0","168","26"
"16:44:35.466, 31.03.2016","20,7","1,3","402.128.896","157.802.192","122.068.992","113.130.440","20.170","0","168","26"
"16:44:36.466, 31.03.2016","8,9","0,0","402.128.896","184.325.712","122.068.992","113.130.440","20.170","0","169","27"
"16:44:37.482, 31.03.2016","17,9","0,0","402.128.896","210.900.352","122.068.992","113.130.440","20.170","0","169","27"
"16:44:38.497, 31.03.2016","8,5","0,0","402.128.896","237.534.920","122.068.992","113.130.440","20.170","0","169","27"
"16:44:39.513, 31.03.2016","10,6","1,0","402.128.896","136.769.168","122.068.992","113.204.648","20.170","0","169","27"
"16:44:40.529, 31.03.2016","11,3","0,0","402.128.896","170.904.152","122.068.992","113.204.648","20.170","0","169","27"
"16:44:41.544, 31.03.2016","10,1","0,0","402.128.896","196.452.592","122.068.992","113.204.648","20.170","0","169","27"
"16:44:42.560, 31.03.2016","8,2","0,0","402.128.896","217.072.832","122.068.992","113.204.648","20.171","0","169","27"
