"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"16:51:09.865, 31.03.2016","17,9","0,0","437.780.480","112.132.728","127.139.840","117.410.824","20.995","0","166","25"
"16:51:10.866, 31.03.2016","6,6","0,0","437.780.480","115.319.304","127.139.840","117.410.824","20.995","0","166","25"
"16:51:11.866, 31.03.2016","4,7","0,0","437.780.480","119.667.032","127.139.840","117.410.824","20.995","0","166","25"
"16:51:12.882, 31.03.2016","4,2","0,0","437.780.480","122.950.712","127.139.840","117.410.824","20.995","0","166","25"
"16:51:13.889, 31.03.2016","7,4","0,0","437.780.480","127.216.240","127.139.840","117.410.824","20.995","0","166","25"
"16:51:14.905, 31.03.2016","8,5","0,0","437.780.480","130.672.016","127.139.840","117.410.824","20.996","0","166","25"
"16:51:15.905, 31.03.2016","8,9","0,0","437.780.480","134.130.960","127.139.840","117.410.824","20.996","0","166","25"
"16:51:16.921, 31.03.2016","5,0","0,0","437.780.480","136.734.352","127.139.840","117.410.824","20.996","0","166","25"
"16:51:17.936, 31.03.2016","5,1","0,0","437.780.480","140.422.680","127.139.840","117.410.824","20.996","0","166","25"
"16:51:18.952, 31.03.2016","5,0","0,0","437.780.480","145.078.920","127.139.840","117.410.824","20.996","0","166","25"
"16:51:19.967, 31.03.2016","7,0","0,0","437.780.480","147.968.040","127.139.840","117.410.824","20.996","0","166","25"
"16:51:20.983, 31.03.2016","8,2","0,0","437.780.480","150.837.504","127.139.840","117.410.824","20.996","0","166","25"
"16:51:21.999, 31.03.2016","0,7","0,0","437.780.480","154.142.736","127.139.840","117.410.824","20.996","0","166","25"
"16:51:23.014, 31.03.2016","1,9","0,0","437.780.480","157.109.112","127.139.840","117.410.824","20.996","0","166","25"
"16:51:24.030, 31.03.2016","3,1","0,0","437.780.480","161.217.744","127.139.840","117.410.824","20.996","0","166","25"
"16:51:25.046, 31.03.2016","3,9","0,0","437.780.480","164.380.008","127.139.840","117.410.824","20.996","0","166","25"
"16:51:26.061, 31.03.2016","2,9","0,0","437.780.480","167.135.816","127.139.840","117.410.824","20.996","0","166","25"
"16:51:27.077, 31.03.2016","5,0","0,0","437.780.480","169.313.240","127.139.840","117.410.824","20.996","0","166","25"
"16:51:28.093, 31.03.2016","3,1","0,4","433.586.176","107.018.048","127.401.984","117.497.552","20.996","0","166","25"
"16:51:29.108, 31.03.2016","18,7","0,0","433.586.176","111.479.072","127.401.984","117.497.552","20.996","0","166","25"
"16:51:30.108, 31.03.2016","14,4","0,0","433.586.176","113.594.176","127.401.984","117.497.552","20.996","0","166","25"
"16:51:31.124, 31.03.2016","0,7","0,0","433.586.176","116.541.752","127.401.984","117.497.552","20.996","0","166","25"
"16:51:32.140, 31.03.2016","3,1","0,0","433.586.176","118.981.480","127.401.984","117.497.552","20.996","0","166","25"
"16:51:33.155, 31.03.2016","1,5","0,0","433.586.176","120.802.120","127.401.984","117.497.552","20.996","0","166","25"
"16:51:34.171, 31.03.2016","8,5","0,0","433.586.176","125.153.096","127.401.984","117.497.552","20.996","0","166","25"
"16:51:35.174, 31.03.2016","10,5","0,0","433.586.176","127.078.936","127.401.984","117.497.552","20.996","0","166","25"
"16:51:36.190, 31.03.2016","5,1","0,0","433.586.176","129.033.808","127.401.984","117.497.552","20.996","0","166","25"
"16:51:37.205, 31.03.2016","1,9","0,0","433.586.176","131.532.696","127.401.984","117.497.552","20.996","0","166","25"
"16:51:38.210, 31.03.2016","0,3","0,0","433.586.176","133.216.824","127.401.984","117.497.552","20.996","0","166","25"
"16:51:39.225, 31.03.2016","0,3","0,0","433.586.176","136.539.624","127.401.984","117.497.552","20.996","0","166","25"
"16:51:40.230, 31.03.2016","1,1","0,0","433.586.176","138.226.728","127.401.984","117.497.552","20.996","0","166","25"
"16:51:41.246, 31.03.2016","2,3","0,0","433.586.176","140.109.752","127.401.984","117.497.552","20.997","0","166","25"
"16:51:42.261, 31.03.2016","0,7","0,0","433.586.176","141.775.832","127.401.984","117.497.552","20.997","0","166","25"
"16:51:43.277, 31.03.2016","0,0","0,0","433.586.176","143.326.632","127.401.984","117.497.552","20.997","0","166","25"
"16:51:44.293, 31.03.2016","0,7","0,0","433.586.176","146.407.528","127.401.984","117.497.552","20.997","0","166","25"
"16:51:45.308, 31.03.2016","0,3","0,0","433.586.176","148.110.896","127.401.984","117.497.552","20.997","0","166","25"
"16:51:46.324, 31.03.2016","0,7","0,0","433.586.176","149.525.216","127.401.984","117.497.552","20.997","0","166","25"
"16:51:47.339, 31.03.2016","2,7","0,0","433.586.176","150.856.664","127.401.984","117.497.552","20.997","0","166","25"
"16:51:48.355, 31.03.2016","1,8","0,0","433.586.176","152.126.384","127.401.984","117.497.552","20.997","0","166","25"
"16:51:49.371, 31.03.2016","0,3","0,0","433.586.176","154.996.160","127.401.984","117.497.552","20.997","0","166","25"
"16:51:50.386, 31.03.2016","0,7","0,0","433.586.176","156.098.704","127.401.984","117.497.552","20.997","0","166","25"
